"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","439","checkoutInformationCancelReturnsToCart","Sauce Demo Cross Browser Suite","Mon May 25 14:46:48 UTC 2026","passed","Mon May 25 14:46:49 UTC 2026","tests.CheckoutInformationTest","Chrome Tests","tests.CheckoutInformationTest","checkoutInformationCancelReturnsToCart"
"","10216","shouldBeEmptyCartAfterRemovingProduct","Sauce Demo Cross Browser Suite","Mon May 25 14:46:58 UTC 2026","passed","Mon May 25 14:47:08 UTC 2026","tests.CartTest","Edge Tests","tests.CartTest","shouldBeEmptyCartAfterRemovingProduct"
"","716","checkOverviewPageElements","Sauce Demo Cross Browser Suite","Mon May 25 14:46:15 UTC 2026","passed","Mon May 25 14:46:16 UTC 2026","tests.CheckoutOverviewTest","Chrome Tests","tests.CheckoutOverviewTest","checkOverviewPageElements"
"","174","Проверка открытия страницы продуктов и отображения заголовка","Sauce Demo Cross Browser Suite","Mon May 25 14:46:09 UTC 2026","passed","Mon May 25 14:46:09 UTC 2026","tests.ProductsTest","Chrome Tests","tests.ProductsTest","shouldBeOnProductsPage"
"","887","checkFinishOrder","Sauce Demo Cross Browser Suite","Mon May 25 14:46:50 UTC 2026","passed","Mon May 25 14:46:51 UTC 2026","tests.CheckoutOverviewTest","Chrome Tests","tests.CheckoutOverviewTest","checkFinishOrder"
"","696","successCheckoutInformationFill","Sauce Demo Cross Browser Suite","Mon May 25 14:46:13 UTC 2026","passed","Mon May 25 14:46:13 UTC 2026","tests.CheckoutInformationTest","Edge Tests","tests.CheckoutInformationTest","successCheckoutInformationFill"
"","171","Проверка открытия страницы корзины и отображения заголовка 'Your Cart'","Sauce Demo Cross Browser Suite","Mon May 25 14:46:11 UTC 2026","passed","Mon May 25 14:46:11 UTC 2026","tests.CartTest","Chrome Tests","tests.CartTest","shouldBeOnCartPage"
"","431","shouldContainMultipleProductsInCart","Sauce Demo Cross Browser Suite","Mon May 25 14:47:10 UTC 2026","passed","Mon May 25 14:47:11 UTC 2026","tests.CartTest","Chrome Tests","tests.CartTest","shouldContainMultipleProductsInCart"
"","936","checkCancelReturnsToCart","Sauce Demo Cross Browser Suite","Mon May 25 14:46:31 UTC 2026","passed","Mon May 25 14:46:32 UTC 2026","tests.CheckoutOverviewTest","Chrome Tests","tests.CheckoutOverviewTest","checkCancelReturnsToCart"
"","10254","shouldBeEmptyCartAfterRemovingProduct","Sauce Demo Cross Browser Suite","Mon May 25 14:46:57 UTC 2026","passed","Mon May 25 14:47:07 UTC 2026","tests.CartTest","Chrome Tests","tests.CartTest","shouldBeEmptyCartAfterRemovingProduct"
"","305","shouldNavigateToCheckoutPage","Sauce Demo Cross Browser Suite","Mon May 25 14:47:27 UTC 2026","passed","Mon May 25 14:47:28 UTC 2026","tests.CartTest","Chrome Tests","tests.CartTest","shouldNavigateToCheckoutPage"
"","441","checkNegativeLogin","Sauce Demo Cross Browser Suite","Mon May 25 14:46:22 UTC 2026","passed","Mon May 25 14:46:22 UTC 2026","tests.LoginTest","Chrome Tests","tests.LoginTest","checkNegativeLogin"
"","180","Проверка открытия страницы продуктов и отображения заголовка","Sauce Demo Cross Browser Suite","Mon May 25 14:46:09 UTC 2026","passed","Mon May 25 14:46:09 UTC 2026","tests.ProductsTest","Edge Tests","tests.ProductsTest","shouldBeOnProductsPage"
"","564","checkLoginWithPositiveCred","Sauce Demo Cross Browser Suite","Mon May 25 14:46:07 UTC 2026","passed","Mon May 25 14:46:07 UTC 2026","tests.LoginTest","Edge Tests","tests.LoginTest","checkLoginWithPositiveCred"
"","216","shouldDisplayActionButtonsInCart","Sauce Demo Cross Browser Suite","Mon May 25 14:47:25 UTC 2026","passed","Mon May 25 14:47:25 UTC 2026","tests.CartTest","Edge Tests","tests.CartTest","shouldDisplayActionButtonsInCart"
"","564","checkLoginWithPositiveCred","Sauce Demo Cross Browser Suite","Mon May 25 14:46:07 UTC 2026","passed","Mon May 25 14:46:07 UTC 2026","tests.LoginTest","Chrome Tests","tests.LoginTest","checkLoginWithPositiveCred"
"","245","Проверка появления кнопки Remove","Sauce Demo Cross Browser Suite","Mon May 25 14:46:55 UTC 2026","passed","Mon May 25 14:46:55 UTC 2026","tests.ProductsTest","Chrome Tests","tests.ProductsTest","shouldChangeAddToCartButtonToRemove"
"","1062","checkBackHomeReturnsToProducts","Sauce Demo Cross Browser Suite","Mon May 25 14:46:53 UTC 2026","passed","Mon May 25 14:46:54 UTC 2026","tests.CheckoutCompleteTest","Chrome Tests","tests.CheckoutCompleteTest","checkBackHomeReturnsToProducts"
